letter_number,entity_name,entity_type
030,Clark,PERSON
030,South  Carolina,LOCATION
030,Clark,PERSON
030,Calhoun,PERSON
030,Hamilton,PERSON
030,Cooper,PERSON
030,"Robert
Barnwell",PERSON
030,Smith,LOCATION
030,Stephen  Elliott,PERSON
030,Grayson,PERSON
030,Cooper,PERSON
030,Smith,LOCATION
030,Mark  Anthony,PERSON
030,Smith,LOCATION
030,Martin,PERSON
030,Cooper,PERSON
030,Revival,PERSON
030,Cooper,PERSON
030,Calhoun,PERSON
030,McDufiie,PERSON
030,Turnbull,LOCATION
030,Calhoun,PERSON
031,HUGH S. LEGARE,PERSON
031,Charleston,LOCATION
031,Greenville,LOCATION
031,Poinsett,PERSON
031,Jackson,PERSON
031,Poinsett,PERSON
031,Hunt,PERSON
031,Edward  Hales,PERSON
031,O'Neall,PERSON
031,Johnson,PERSON
031,Grimke,PERSON
031,P.  Finley,PERSON
031,Grimke,LOCATION
031,Calhoun,PERSON
031,Hayne,PERSON
031,Columbia,LOCATION
031,Blanding,LOCATION
031,Tom  Williams,PERSON
031,Waddy,PERSON
031,Franklin  Elmore,PERSON
031,Poor  Blair,PERSON
031,Washington,LOCATION
031,Murphy,PERSON
031,Alabama,LOCATION
031,Hunt,PERSON
031,T.  O.  Elliott,PERSON
031,James  Smith,PERSON
031,Jerry  Yates,PERSON
031,Smith,PERSON
031,United  States,LOCATION
031,"South 
Carolina",LOCATION
031,United  States,LOCATION
031,Hamilton,PERSON
031,McDuffie,PERSON
031,Caroline,LOCATION
031,New  York,LOCATION
031,Hamilton,PERSON
031,"Douglass 
Cruger",PERSON
031,Bertrand,LOCATION
031,Paris,LOCATION
031,Washington,LOCATION
032,Charleston,LOCATION
032,Hamilton,PERSON
032,Columbia,LOCATION
032,Philadelphia,LOCATION
032,New  York,LOCATION
032,Henry  Cruger,PERSON
032,Hamilton,PERSON
032,Bensse,LOCATION
032,Chesterfield,LOCATION
032,Lose,PERSON
032,St.,LOCATION
032,Thomas,PERSON
032,Laurens,PERSON
032,Washington,LOCATION
033,Charleston,LOCATION
033,James  Louis  Petigru,PERSON
033,Columbia,LOCATION
033,Charleston,LOCATION
033,Circus,LOCATION
033,Circus,LOCATION
033,Circus,LOCATION
033,Circus,LOCATION
033,Circus,LOCATION
033,Circus,LOCATION
033,Dunkin,PERSON
034,Charleston,LOCATION
034,Bill,PERSON
034,Warren,PERSON
034,Huger,PERSON
034,Bill,PERSON
035,Charleston,LOCATION
035,O'Neall,LOCATION
035,Johnson,PERSON
035,Plowden,LOCATION
035,Lewis,PERSON
035,Gregg,PERSON
035,Dagon,PERSON
035,Columbia,LOCATION
035,Charleston,LOCATION
035,Jefferson,PERSON
035,Charleston,LOCATION
035,Magrath,LOCATION
035,Holmes,PERSON
035,Holmes,PERSON
